1,外三元,海南省,16.71元,8.36元
2,外三元,上海市,14.75元,7.38元
3,外三元,广东省,14.45元,7.23元
4,外三元,贵州省,14.19元,7.10元
5,外三元,浙江省,14.16元,7.08元
6,外三元,福建省,14.05元,7.03元
7,外三元,江苏省,14.01元,7.01元
8,外三元,湖南省,13.97元,6.99元
9,外三元,山东省,13.81元,6.91元
10,外三元,安徽省,13.67元,6.84元
11,外三元,重庆市,13.60元,6.80元
12,外三元,四川省,13.60元,6.80元
13,外三元,广西,13.60元,6.80元
14,外三元,青海省,13.49元,6.75元
15,外三元,江西省,13.43元,6.72元
16,外三元,西藏,13.40元,6.70元
17,外三元,河南省,13.35元,6.68元
18,外三元,天津市,13.34元,6.67元
19,外三元,湖北省,13.29元,6.65元
20,外三元,北京市,13.29元,6.65元
21,外三元,河北省,13.15元,6.58元
22,外三元,山西省,12.90元,6.45元
23,外三元,陕西省,12.58元,6.29元
24,外三元,内蒙古,12.53元,6.27元
25,外三元,辽宁省,12.37元,6.19元
26,外三元,甘肃省,12.34元,6.17元
27,外三元,吉林省,12.31元,6.16元
28,外三元,宁夏,12.16元,6.08元
29,外三元,云南省,12.16元,6.08元
30,外三元,黑龙江省,11.95元,5.98元
31,外三元,新疆,11.31元,5.66元
1,外三元,海南省,17.86元,8.93元
2,外三元,浙江省,14.96元,7.48元
3,外三元,西藏,14.79元,7.40元
4,外三元,广东省,14.48元,7.24元
5,外三元,贵州省,14.40元,7.20元
6,外三元,湖南省,14.36元,7.18元
7,外三元,安徽省,14.11元,7.06元
8,外三元,广西,14.03元,7.02元
9,外三元,上海市,14.00元,7.00元
10,外三元,福建省,14.00元,7.00元
11,外三元,宁夏,13.83元,6.92元
12,外三元,重庆市,13.60元,6.80元
13,外三元,山东省,13.55元,6.78元
14,外三元,四川省,13.52元,6.76元
15,外三元,江苏省,13.40元,6.70元
16,外三元,山西省,13.16元,6.58元
17,外三元,天津市,13.14元,6.57元
18,外三元,江西省,13.10元,6.55元
19,外三元,湖北省,13.05元,6.53元
20,外三元,北京市,13.00元,6.50元
21,外三元,河南省,12.97元,6.49元
22,外三元,甘肃省,12.73元,6.37元
